ID,Subject,Bangla,Arabic,Urdu,English,Pronunciation
ON-6,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,ষষ্ঠ,اَلسَّادِسُ,چھٹا,Sixth,(সিক্সথ্)
ON-7,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,সপ্তম,اَلسَّابِعُ,ستواں,Seventh,(সেভেন্থ)
ON-8,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,অষ্টম,اَلثَّامِنُ,آٹھواں,Eighth,(এইটথ)
ON-9,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,নবম,اَلتَّاسِعُ,نواں,Ninth,(নাইনথ্)
ON-10,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,দশম,اَلْعَاشِرُ,دسواں,Tenth,(টেন্থ)
FN-1,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,অর্ধেক (১/২),نِصْفٌ,نصف / آدھا,Half,(হাফ)
FN-2,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-তৃতীয়াংশ (১/৩),ثُلُثٌ,تہائی,One-third,(ওয়ান-থার্ড)
FN-3,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-চতুর্থাংশ (১/৪),رُبُعٌ,چوتھائی,One-fourth,(ওয়ান-ফোর্থ)
FN-4,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-পঞ্চমাংশ (১/৫),خُمُسٌ,پانچواں حصہ,One-fifth,(ওয়ান-ফিফ্থ)
FN-5,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-ষষ্ঠাংশ (১/৬),سُدُسٌ,چھٹا حصہ,One-sixth,(ওয়ান-সিক্সথ)
FN-6,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-সপ্তমাংশ (১/৭),سُبُعٌ,ساتواں حصہ,One-seventh,(ওয়ান-সেভেন্থ)
FN-7,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-অষ্টমাংশ (১/৮),ثُمُنٌ,آٹھواں حصہ,One-eighth,(ওয়ান-এইটথ)
FN-8,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-নবমাংশ (১/৯),تُسُعٌ,نواں حصہ,One-ninth,(ওয়ান-নাইন্থ)
FN-9,ভগ্নাংশ সংখ্যা الْأَعْدَادُ الْكَسْرِيَّةُ Fractional Numbers,এক-দশমাংশ (১/১০),عُشْرٌ,دسواں حصہ,One-tenth,(ওয়ান-টেন্থ)
N-1,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,এক,وَاحِدٌ,ایک,One,(ওয়ান)
N-2,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দুই,اِثْنَانِ,دو,Two,(টু)
N-3,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,তিন,ثَلَاثَةٌ,تین,Three,(থ্রি)
N-4,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,চার ,أَرْبَعَةٌ,چار,Four,(ফোর)
N-5,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,পাঁচ,خَمْسَةٌ,چانچ,Five,(ফাইভ)
N-6,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ছয়,سِتَّةٌ,چھ,Six,(সিক্স)
N-7,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,সাত,سَبْعَةٌ,سات,Seven,(সেভেন)
N-8,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,আট,ثَمَانِيَةٌ,آٹھ,Eight,(এইট)
N-9,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,নয়,تِسْعَةٌ,نو,Nine,(নাইন)
N-10,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দশ,عَشَرَةٌ,دس,Ten,(টেন)
N-11,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,এগার,أَحَدَ عَشَرَ,گیارہ,Eleven,(ইলেভেন)
N-12,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,বার,اِثْنَا عَشَرَ,بارہ,Twelve,(টুয়েলভ)
N-13,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,তের,ثَلَاثَ عَشَرَ,تیرہ,Thirteen,(থার্টিন)
N-14,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,চৌদ্দ,أَرْبَعَةَ عَشَرَ,چودہ,Fourteen,(ফোরটিন)
N-15,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,পনের,خَمْسَةَ عَشَرَ,پندرہ,Fifteen,(ফিফটিন)
N-16,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ষোল,سِتَّةَ عَشَرَ,سولہ,Sixteen,(সিক্সটিন)
N-17,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,সতের,سَبْعَةَ عَشَرَ,سترہ,Seventeen,(সেভেনটিন)
N-18,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,আঠার,ثَمَانِيَةَ عَشَرَ,اٹھارہ,Eighteen,(এইটিন)
N-19,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ঊনিশ,تِسْعَةَ عَشَرَ,انیس,Nineteen,(নাইনটিন)
N-20,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,বিশ,عِشْرُوْنَ,بیس,Twenty,(টুয়েন্টি)
N-21,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,একুশ,أَحَدٌ وَ عِشْرُوْنَ,اکیس,Twenty-one,(টুয়েন্টি ওয়ান)
N-22,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,বাইশ,اِثْنَانِ وَ عِشْرُوْنَ,بائیس,Twenty-two,(টুয়েন্টি টু)
N-23,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,তেইশ,ثَلَاثَةٌ وَ عِشْرُوْنَ,تئیس,Twenty-three,(টুয়েন্টি থ্রি)
N-24,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,চব্বিশ,أَرْبَعَةٌ وَ عِشْرُوْنَ,چوبیس,Twenty-four,(টুয়েন্টি ফোর)
N-25,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,পঁচিশ,خَمْسَةٌ وَ عِشْرُوْنَ,پچیس,Twenty-five,(টুয়েন্টি ফাইভ)
N-26,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ছাব্বিশ,سِتَّةٌ وَ عِشْرُوْنَ,چھبیس,Twenty-six,(টুয়েন্টি সিক্স)
N-27,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,সাতাশ,سَبْعَةٌ وَ عِشْرُوْنَ,ستائیس,Twenty-seven,(টুয়েন্টি সেভেন)
N-28,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,আটাশ,ثَمَانِيَةٌ وَ عِشْرُوْنَ,اٹھائیس,Twenty-eight,(টুয়েন্টি এইট)
N-29,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ঊনত্রিশ,تِسْعَةٌ وَ عِشْرُوْنَ,انتیس,Twenty-nine,(টুয়েন্টি নাইন)
N-30,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ত্রিশ,ثَلَاثُوْنَ,تیس,Thirty,(থার্টি)
N-31,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,চিল্লিশ,أَرْبَعُوْنَ,چالیس,Forty,(ফোর্টি)
N-32,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,পঞ্চাশ,خَمْسُوْنَ,پچاس,Fifty,(ফিফটি)
N-33,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ষাট,سِتُّوْنَ,ساٹھ,Sixty,(সিক্সটি)
N-34,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,সত্তর,سَبْعُوْنَ,ستر,Seventy,(সেভেন্টি)
N-35,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,আশি,ثَمَانُوْنَ,اسّی,Eighty,(এইটি)
N-36,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,নব্বই,تِسْعُوْنَ,بوّے,Ninety,(নাইনটি)
N-37,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,একশত,مِائَةٌ,سو,One Hundred,(ওয়ান হান্ড্রেড)
N-38,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দুইশত,مِائَتَانِ,دو سو,Two Hundred,(টু হান্ড্রেড)
N-39,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,তিনশত,ثَلَاثُمِائَةٍ,تین سو,Three Hundred,(থ্রি হান্ড্রেড)
N-40,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,চারশত,أَرْبَعُ مِائَةِ,چار سو,Four Hundred,(ফোর হান্ড্রেড)
N-41,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,পাঁচশত,خَمْسُمِائَةٍ,پانچ سو,Five Hundred,(ফাইভ হান্ড্রেড)
N-42,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ছয়শত,سِتَّةُ مِائَةٍ ,چھ سو,Six Hundred,(সিক্স হান্ড্রেড)
N-43,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,সাতশত,سَبْعُ مِائَةٍ,سات سو,Seven Hundred,(সেভেন হান্ড্রেড)
N-44,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,আটশত,ثَمَانُ مِائَةٍ,آٹھ سو,Eight Hundred,(এইট হান্ড্রেড)
N-45,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,নয়শত,تِسْعُ مِائَةٍ,نو سو,Nine Hundred,(নাইন হান্ড্রেড)
N-46,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,এক হাজার,أَلْفٌ,ایک ہزار,One Thousand,(ওয়ান থাউজ্যান্ড)
N-47,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দুই হাজার,أَلْفَانِ,دو ہزار,Two Thousand,(টু থাউজ্যান্ড)
N-48,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,তিন হাজার ,ثَلَاثَةُ الَافٍ,دین ہزار,Three Thousand,(থ্রি থাউজ্যান্ড)
N-49,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,চার হাজার,أَرْبَعَةُ الَافٍ,چار ہزار,Four Thousand,(ফোর থাউজ্যান্ড)
N-50,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,পাঁচ হাজার,خَمْسَةُ الَافٍ,چانچ ہزار,Five Thousand,(ফাইভ থাউজ্যান্ড)
N-51,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,ছয় হাজার,سِتَّةُ الَافٍ,چھ  ہزار,Six Thousand,(সিক্স থাউজ্যান্ড)
N-52,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,সাত হাজার,سَبْعَةُ الَافٍ,سات ہزار,Seven Thousand,(সেভেন থাউজ্যান্ড)
N-53,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,আট হাজার,ثَمَانِيَةُ الَافٍ,اٹھ ہزار,Eight Thousand,(এইট থাউজ্যান্ড)
N-54,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,নয় হাজার,تِسْعَةُ الَافٍ,نو ہزار,Nine Thousand,(নাইন থাউজ্যান্ড)
N-55,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দশ হাজার,عَشَرَةُ الَافٍ,دس ہزار,Ten Thousand,(টেন থাউজ্যান্ড)
N-56,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,এক লাখ,مِائَةُ أَلْفٍ,ایک لاکھ,One Lakh,(ওয়ান লাখ)
N-57,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দশ লাখ,أَلْفُ أَلْفٍ,دس لاکھ,Ten Lakhs,(টেন লাখস)
N-58,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,দশ লাখ,مَلْيُوْنَ,دس لاکھ,Ten Lakhs,(টেন লাখস)
N-59,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,এক বিলিয়ন,بَلْيُوْنَ,ایک ارب,One Million,(ওয়ান মিলিয়ন)
N-60,প্রধান সংখ্যা اَلْأَعْدَادُ الْأَصْلِيَّةُ Cardinal Numbers,এক বিলিয়ন,مَلَائِيْنَ,لاکھوں لاکھ,One Billion,(ওয়ান বিলিয়ন)
SD-1,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,ডান,يَمِيْنٌ,دایاں,Right,(রাইট)
SD-2,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,বাম,يَسَارٌ,بایاں,Left,(লেফট)
SD-3,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,সম্মুখ,أَمَامٌ,آگے,Front,(ফ্রন্ট)
SD-4,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,পশ্চাৎ,خَلْفٌ,پیچھے,Behind,(বিহাইন্ড)
SD-5,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,অধঃ,"تَحْتٌ، الْأَسْفَلُ",نیچے,Down,(ডাউন)
SD-6,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,ঊর্ধ্ব,"فَوْقٌ، الْأَعْلَى",اوپر,Up,(আপ)
SD-7,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,উত্তর,شِمَالٌ,اتر,North,(নর্থ)
SD-8,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,দক্ষিণ,جُنُوْبٌ,دکھن,South,(সাউথ)
SD-9,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,পূর্ব,مَشْرِكٌ,پورب,East,(ইস্ট)
SD-10,দশ দিক الْجِهَاتُ الْعَشْرَةُ Ten Directions,পশ্চিম,مَغْرِبٌ,پچھم,West,(ওয়েস্ট)
S-01,বিভিন্ন ঋতু الْفُصُولُ Seasons,বসন্তকাল,رَبِيْعٌ,بہار,Spring,(স্প্রিং)
S-02,বিভিন্ন ঋতু الْفُصُولُ Seasons,হেমন্তকাল,خَرِيْفٌ,خزاں,Late autumn,(লেট অটাম)
S-03,বিভিন্ন ঋতু الْفُصُولُ Seasons,গ্রীষ্মকাল,صَيْفٌ,موسم گرما,Summer,(সামার)
S-04,বিভিন্ন ঋতু الْفُصُولُ Seasons,শীতকাল,شِتَاءٌ,موسم سرما,Winter,(উইন্টার)
S-05,বিভিন্ন ঋতু الْفُصُولُ Seasons,গরম,حَرٌّ,گرمی,Hot,(হট)
S-06,বিভিন্ন ঋতু الْفُصُولُ Seasons,ঠান্ডা,بَرْدٌ,سردی,Cold,(কোল্ড)
S-07,বিভিন্ন ঋতু الْفُصُولُ Seasons,আর্দ্র,رَطُوْبَةٌ,تری,Wet,(ওয়েট)
